Room Capacity,Fifth Slot Usage,Double Acts,Single Gaps,Double Gaps,Triple Gaps,Total
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
0,10,510,225,162,8000000,8000907
