Room Capacity,Fifth Slot Usage,Double Acts,Single Gaps,Double Gaps,Triple Gaps,Total
1,15,180,34,0,0,230
26,25,153,34,3,0,241
47,15,165,41,3,0,271
14,20,165,61,6,0,266
14,20,178,50,0,0,262
6,20,166,49,15,0,256
2,25,195,42,0,0,264
38,5,200,31,3,0,277
53,10,177,29,3,0,272
67,15,197,27,3,0,309
1,5,203,36,0,0,245
38,15,204,24,0,0,281
34,10,210,32,0,0,286
13,10,181,45,3,0,252
35,10,203,25,0,0,273
25,15,187,49,0,0,276
53,5,203,30,0,0,291
17,15,198,34,0,0,264
6,20,195,37,0,0,258
7,20,195,40,15,0,277
2,20,187,42,0,0,251
1,25,168,43,0,0,237
19,10,209,27,0,0,265
2,10,209,43,6,0,270
15,20,183,32,0,0,250
0,15,210,63,3,0,291
23,10,196,33,6,0,268
9,5,178,43,3,0,238
28,10,222,59,0,0,319
15,15,187,35,6,0,258
25,20,171,30,0,0,246
3,10,174,48,3,0,238
38,25,205,49,0,0,317
29,10,208,39,0,0,286
49,15,171,65,0,0,300
18,15,197,34,3,0,267
22,25,158,35,0,0,240
15,20,188,42,3,0,268
2,25,191,43,0,0,261
13,25,218,55,0,0,311
40,15,224,41,0,0,320
25,20,182,25,0,0,252
9,15,205,36,6,0,271
35,20,217,30,0,0,302
72,20,146,51,0,0,289
3,5,235,44,6,0,293
67,15,226,43,0,0,351
30,10,213,68,3,0,324
26,10,223,45,0,0,304
15,10,230,53,0,0,308
38,20,144,45,0,0,247
13,15,189,25,0,0,242
78,15,167,34,0,0,294
9,20,172,64,0,0,265
10,15,208,56,0,0,289
15,15,206,53,0,0,289
17,15,183,47,0,0,262
2,0,223,47,0,0,272
10,5,217,52,0,0,284
12,10,197,61,3,0,283
38,20,150,72,3,0,283
9,10,186,31,0,0,236
23,15,167,34,0,0,239
25,10,195,47,0,0,277
20,15,233,29,3,0,300
17,15,182,32,0,0,246
37,15,137,51,0,0,240
35,10,219,55,0,0,319
57,15,185,37,0,0,294
19,15,230,54,0,0,318
20,10,205,49,6,0,290
65,20,165,59,3,0,312
7,20,179,53,6,0,265
34,10,199,28,0,0,271
22,25,157,40,6,0,250
33,10,212,34,3,0,292
35,20,151,49,3,0,258
11,10,210,31,0,0,262
0,10,212,21,3,0,246
5,15,186,43,0,0,249
36,10,192,48,6,0,292
21,15,154,39,0,0,229
9,20,174,68,0,0,271
23,15,160,45,0,0,243
28,15,196,38,6,0,283
31,15,173,31,0,0,250
16,10,185,48,6,0,265
24,5,233,34,0,0,296
47,15,176,38,0,0,276
10,10,186,27,0,0,233
10,10,185,40,0,0,245
15,20,171,72,3,0,281
23,10,202,42,6,0,283
12,10,261,31,0,0,314
48,10,182,36,0,0,276
26,15,206,41,0,0,288
58,15,215,46,3,0,337
35,25,198,38,0,0,296
9,20,201,25,3,0,258
34,15,233,34,0,0,316
