Room Capacity,Fifth Slot Usage,Double Acts,Single Gaps,Double Gaps,Triple Gaps,Total
0,25,188,48,3,0,264
0,10,234,77,24,0,345
0,5,198,62,18,0,283
0,15,177,66,9,0,267
0,15,200,56,0,0,271
13,15,205,64,0,0,297
0,10,232,61,9,0,312
0,10,230,32,3,0,275
0,15,189,55,24,0,283
1,10,218,57,12,0,298
0,15,208,37,0,0,260
0,5,218,71,6,0,300
0,10,203,74,0,0,287
0,0,230,55,12,0,297
0,10,242,42,0,0,294
4,0,243,67,12,0,326
0,10,203,51,6,0,270
11,0,226,55,0,0,292
9,0,234,60,0,0,303
0,20,174,72,0,0,266
9,5,236,54,3,0,307
2,0,235,60,6,0,303
9,0,234,54,9,0,306
0,5,245,66,15,0,331
0,10,205,66,3,0,284
5,10,208,80,12,0,315
20,0,250,44,0,0,314
2,10,225,31,9,0,277
0,10,194,45,6,0,255
0,10,234,88,0,0,332
0,15,234,34,0,0,283
0,10,226,80,9,0,325
0,5,238,61,3,0,307
0,10,201,93,3,0,307
0,10,238,91,18,0,357
0,10,226,61,0,0,297
1,10,216,86,12,0,325
0,10,219,70,0,0,299
0,10,227,87,15,0,339
9,10,188,41,3,0,251
2,5,264,32,0,0,303
13,10,216,38,3,0,280
0,15,212,54,9,0,290
0,5,211,62,12,0,290
1,0,243,59,3,0,306
0,5,213,63,21,0,302
0,10,213,52,9,0,284
15,10,234,59,30,0,348
7,10,213,53,3,0,286
9,5,251,70,3,0,338
0,15,204,53,9,0,281
2,5,241,66,3,0,317
0,10,228,64,21,0,323
0,10,212,53,15,0,290
0,0,198,74,9,0,281
0,15,198,41,0,0,254
0,10,190,61,15,0,276
2,5,220,73,12,0,312
0,5,249,54,3,0,311
5,20,172,75,12,0,284
0,10,205,89,12,0,316
0,10,231,59,24,0,324
13,0,219,41,3,0,276
13,10,253,59,3,0,338
9,5,219,65,0,0,298
1,10,204,75,24,0,314
1,5,210,65,12,0,293
13,5,236,42,3,0,299
2,10,238,45,0,0,295
5,5,200,67,6,0,283
13,10,216,53,0,0,292
0,10,172,78,12,0,272
2,10,240,55,9,0,316
0,0,239,89,6,0,334
0,10,210,62,12,0,294
9,10,236,55,18,0,328
10,5,200,92,0,0,307
13,15,198,59,12,0,297
1,20,194,36,0,0,251
0,15,195,60,9,0,279
5,5,222,88,9,0,329
1,5,190,68,9,0,273
1,0,256,57,9,0,323
1,10,214,47,18,0,290
15,10,221,34,3,0,283
9,10,195,65,6,0,285
9,5,233,59,12,0,318
9,15,185,57,18,0,284
9,20,175,39,6,0,249
0,10,208,108,18,0,344
6,5,228,75,12,0,326
0,5,224,49,0,0,278
0,5,219,70,12,0,306
3,5,219,58,0,0,285
0,10,194,64,12,0,280
0,10,188,66,18,0,282
0,15,195,37,12,0,259
0,15,206,72,0,0,293
1,5,215,63,9,0,293
0,5,206,68,0,0,279
